started_at,ticker,trade_date,asset_type,provider,deep_model,quick_model,status,error,rating,duration_s,llm_calls,tool_calls,tokens_in,tokens_out,tokens_total,cost_usd,per_model,category,pass
2026-09-13T05:21:59.634038+00:00,300750.SZ,2026-03-04,stock,deepseek,deepseek-flash,deepseek-flash,ok,,Hold,385.77,22,24,150168,68893,219061,,"{""deepseek-flash"": {""calls"": 18, ""in"": 150168, ""out"": 68893}}",l1_extreme_win,analysis
2026-09-13T05:28:27.132689+00:00,300750.SZ,2026-03-18,stock,deepseek,deepseek-flash,deepseek-flash,ok,,Hold,434.97,26,24,168837,83647,252484,,"{""deepseek-flash"": {""calls"": 21, ""in"": 168837, ""out"": 83647}}",l1_extreme_win,settle
2026-09-13T05:35:42.119695+00:00,600519.SS,2026-01-28,stock,deepseek,deepseek-flash,deepseek-flash,ok,,Hold,335.8,22,21,127155,61153,188308,,"{""deepseek-flash"": {""calls"": 18, ""in"": 127155, ""out"": 61153}}",l1_extreme_win,analysis
2026-09-13T05:41:17.931399+00:00,600519.SS,2026-02-11,stock,deepseek,deepseek-flash,deepseek-flash,ok,,Hold,372.08,26,24,178007,69315,247322,,"{""deepseek-flash"": {""calls"": 21, ""in"": 178007, ""out"": 69315}}",l1_extreme_win,settle
2026-09-13T05:47:30.032902+00:00,601318.SS,2026-06-15,stock,deepseek,deepseek-flash,deepseek-flash,ok,,Sell,386.55,26,40,155209,72223,227432,,"{""deepseek-flash"": {""calls"": 22, ""in"": 155209, ""out"": 72223}}",l1_extreme_loss,analysis
2026-09-13T05:53:56.603262+00:00,601318.SS,2026-06-29,stock,deepseek,deepseek-flash,deepseek-flash,ok,,Sell,407.7,28,28,170657,68648,239305,,"{""deepseek-flash"": {""calls"": 23, ""in"": 170657, ""out"": 68648}}",l1_extreme_loss,settle
2026-09-13T07:22:05.797758+00:00,600519.SS,2026-02-11,stock,deepseek,deepseek-flash,deepseek-flash,ok,,,4.91,1,0,1911,122,2033,0.00048,"{""deepseek-flash"": {""calls"": 1, ""in"": 1911, ""out"": 122}}",manual_settle,settle
2026-09-13T07:22:17.071706+00:00,300750.SZ,2026-03-18,stock,deepseek,deepseek-flash,deepseek-flash,ok,,,4.3,1,0,1958,179,2137,0.000535,"{""deepseek-flash"": {""calls"": 1, ""in"": 1958, ""out"": 179}}",manual_settle,settle
2026-09-13T08:52:08.997144+00:00,000001.SZ,2026-06-12,stock,deepseek,deepseek-flash,deepseek-flash,ok,,Underweight,185.2,20,30,127459,26503,153962,0.046694,"{""deepseek-flash"": {""calls"": 20, ""in"": 127459, ""out"": 26503}}"
2026-09-13T08:59:27.395450+00:00,000001.SZ,2026-06-12,stock,deepseek,deepseek-flash,deepseek-flash,ok,,,32.62,2,0,23629,6160,29789,0.009654,"{""deepseek-flash"": {""calls"": 2, ""in"": 23629, ""out"": 6160}}",manual_settle,settle
2026-09-13T09:01:55.804056+00:00,601318.SS,2026-06-29,stock,deepseek,deepseek-flash,deepseek-flash,ok,,,2.36,1,0,2628,144,2772,0.000641,"{""deepseek-flash"": {""calls"": 1, ""in"": 2628, ""out"": 144}}",manual_settle,settle
2026-09-13T09:02:52.794486+00:00,600519.SS,2026-01-26,stock,deepseek,deepseek-flash,deepseek-flash,ok,,Hold,182.83,19,20,128149,29174,157323,0.048969,"{""deepseek-flash"": {""calls"": 19, ""in"": 128149, ""out"": 29174}}"
2026-09-13T09:08:20.098775+00:00,600519.SS,2026-01-26,stock,deepseek,deepseek-flash,deepseek-flash,ok,,,8.88,2,0,25183,1434,26617,0.006184,"{""deepseek-flash"": {""calls"": 2, ""in"": 25183, ""out"": 1434}}",manual_settle,settle
